1.01,1.043571,1.008571,1.035714,0.903882,71660400
1.040714,1.073571,1.040714,1.057143,0.922583,106999200
1.049286,1.077857,1.037143,1.072857,0.936297,82160400
1.053571,1.057143,1.034286,1.041429,0.908869,51486400
1.044286,1.067143,1.037143,1.062143,0.926946,88197200
1.054286,1.068571,1.032143,1.060714,0.925699,65927400
1.028571,1.058571,1.028571,1.045714,0.912609,62665400
1.049286,1.083571,1.046429,1.066429,0.930686,63670600
1.078571,1.085,1.039286,1.05,0.916349,52161200
1.035,1.060714,1.034286,1.051429,0.917596,51538200
1.028571,1.040714,1.01,1.035714,0.903882,59424400
1.042143,1.042857,1,1.036429,0.904505,85605800
1.023571,1.045,1.007143,1.012143,0.88331,57337000
1.012857,1.042857,1.004286,1.021429,0.891414,54474000
1.025714,1.028571,0.999286,1.002143,0.874584,47706400
0.997857,1.015,0.982857,0.983571,0.858376,61174400
0.992857,0.997143,0.954286,0.977143,0.852765,113411200
0.967143,0.989286,0.957857,0.970714,0.847155,89171600
0.973571,1.015714,0.97,1.007857,0.87957,80393600
1.017857,1.055714,1.007143,1.036429,0.904505,73669400
1.039286,1.07,1.031429,1.055,0.920713,48601000
1.087143,1.089286,1.055714,1.082857,0.945024,101379600
1.061429,1.080714,0.992857,1.04,0.907622,76906200
1.015,1.027143,0.998571,1.007857,0.87957,117324200
1,1.025,0.995,1.024286,0.893908,72074800
1.018571,1.045,1,1.04,0.907622,59630200
1.033571,1.062857,1.018571,1.05,0.916349,54537000
1.045,1.07,1.035714,1.062857,0.92757,52259200
1.072857,1.086429,1.039286,1.049286,0.915726,43687000
1.049286,1.103571,1.042143,1.101429,0.961231,69767600
1.110714,1.139286,1.089286,1.115,0.973075,87325000
1.112143,1.134286,1.068571,1.102857,0.962478,64794800
1.106429,1.169286,1.105714,1.141429,0.99614,67669000
1.142143,1.174286,1.137143,1.147857,1.00175,73959200
1.138571,1.178571,1.135,1.168571,1.019828,47457200
1.178571,1.241429,1.167857,1.206429,1.052866,94204600
1.196429,1.211429,1.167857,1.207143,1.05349,52673600
1.22,1.237143,1.192857,1.23,1.073437,54097400
1.21,1.221429,1.129286,1.142857,0.997387,84044800
1.143571,1.157143,1.108571,1.131429,0.987413,47516000
1.124286,1.135,1.08,1.082857,0.945024,38243800
1.094286,1.145714,1.091429,1.117143,0.974945,55948200
1.107143,1.147857,1.091429,1.113571,0.971828,57934800
1.135714,1.172143,1.127143,1.164286,1.016088,35428400
1.159286,1.16,1.125714,1.139286,0.99427,40248600
1.156429,1.157143,1.108571,1.117857,0.975569,41144600
1.110714,1.125,1.072143,1.090714,0.951881,52738000
1.092857,1.121429,1.089286,1.109286,0.968089,52185000
1.135714,1.174286,1.125,1.167857,1.019204,104620600
1.149286,1.164286,1.135714,1.143571,0.99801,56964600
1.145,1.152857,1.122143,1.140714,0.995517,49856800
1.132143,1.135714,1.090714,1.100714,0.960608,60065600
1.114286,1.132857,1.103571,1.122857,0.979932,71699600
1.127857,1.134286,1.100714,1.107143,0.966218,35858200
1.135714,1.15,1.072143,1.084286,0.94627,99685600
1.085714,1.095714,1.078571,1.082857,0.945024,56967400
1.084286,1.085,1.035714,1.069286,0.93318,81439400
1.073571,1.077143,1.037857,1.045,0.911985,60849600
1.046429,1.085,1.037143,1.067857,0.931933,61339600
1.067143,1.067857,1.047857,1.053571,0.919466,59021200
1.053571,1.103571,1.052143,1.091429,0.952504,77152600
1.092857,1.106429,1.077143,1.106429,0.965595,63375200
1.107857,1.110714,1.072143,1.085,0.946894,37335200
1.081429,1.082143,1.046429,1.056429,0.921959,41195000
1.057857,1.078571,1.043571,1.060714,0.925699,62906200
1.060714,1.085,1.047143,1.077143,0.940037,55665400
1.057143,1.061429,1.035714,1.040714,0.908245,37675400
1.037857,1.065714,1.007143,1.014286,0.88518,86879800
1.020714,1.04,0.984286,1.01,0.88144,79524200
1.011429,1.039286,1.008571,1.035,0.903258,31456600
1.031429,1.033571,1.021429,1.025714,0.895154,9835000
1.03,1.057857,1.02,1.028571,0.897648,21355600
1.022143,1.027143,1.000714,1.004286,0.876453,20008800
1.005714,1.010714,0.988571,1.005,0.877077,38760400
1,1.025714,0.996429,1.023571,0.893284,50181600
1.025714,1.065714,1.025,1.057143,0.922583,45357200
1.057143,1.066429,1.042143,1.064286,0.928816,36863400
1.073571,1.098571,1.062857,1.064286,0.928816,97633200
1.056429,1.071429,1.033571,1.060714,0.925699,85586200
1.041429,1.050714,1.031429,1.039286,0.906998,57411200
1.044286,1.065714,1.035714,1.048571,0.915102,53813200
1.041429,1.058571,1.035,1.051429,0.917596,43775200
1.064286,1.064286,1.025714,1.045,0.911985,44735600
1.049286,1.058571,1.035,1.043571,0.910739,46715200
1.042143,1.05,1.018571,1.030714,0.899518,92782200
1.015,1.054286,1.015,1.044286,0.911362,139767600
1.04,1.04,1.005714,1.007143,0.878947,66690400
1.015,1.029286,1,1.001429,0.87396,63364000
0.998571,1.010714,0.985714,0.991429,0.865233,53785200
1.003571,1.025714,0.996429,1.012143,0.88331,57064000
1.017143,1.017143,0.968571,0.985714,0.860246,76367200
0.977143,1.035714,0.975,1.009286,0.880817,97851600
1.017143,1.049286,1.011429,1.041429,0.908869,71563800
1.039286,1.078571,1.021429,1.066429,0.930686,93261000
1.07,1.076429,1.020714,1.022857,0.892661,101764600
1.013571,1.039286,1.003571,1.025714,0.895154,85306200
1.029286,1.065,1.025,1.047143,0.913855,66196200
1.032143,1.046429,1.022143,1.042857,0.910115,79353400
1.050714,1.066429,1.031429,1.032143,0.900765,55403600
